Resource Type,Resource Name,Subject/Criteria,Age Group,Grades,Organizer,Organizer Location,Eligibility,Brief Description,Link to Resource,Minimum Grade,Maximum Grade,Organizer Country,Area,Broad Area ,RESOURCE CATEGORY,SNO.
Scholarship,Vancouver School Board District Scholarships,General Academic Achievement,17-18,12,Vancouver School Board,British Columbia,Graduating students within Vancouver School Board.,Scholarships awarded to graduating students within the Vancouver School District.,https://www.vsb.bc.ca/student_learning/scholarships_and_awards/Pages/default.aspx,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,11
Scholarship,Abbotsford Community Foundation Student Awards,General Academic Achievement,17-18,12,Abbotsford Community Foundation,British Columbia,Graduating students from Abbotsford area schools.,Student awards provided to graduating students in Abbotsford area based on academic and community involvement.,https://abbotsfordcf.org/granting/student-awards-program/,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,12
Bursary,Burnaby School District Bursaries,General Academic Achievement,17-18,12,Burnaby School District,British Columbia,Graduating students within Burnaby School District demonstrating financial need.,Bursaries offered to Burnaby students based on financial need.,https://burnabyschools.ca/scholarships-and-bursaries/,12,12,Canada,Financial Assistance,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,13
Scholarship,Richmond School District Scholarships,General Academic Achievement,17-18,12,Richmond School District,British Columbia,Graduating students within Richmond School District.,Scholarships for graduating students in Richmond School District for academic and extracurricular excellence.,https://www.sd38.bc.ca/students/scholarships,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,14
Scholarship,Canada-wide Science Fair Scholarships,STEM,12-18,7-12,Youth Science Canada,Canada,Participants in the Canada-wide Science Fair.,Scholarships awarded to participants of the Canada-wide Science Fair to support their future academic pursuits in STEM.,https://youthscience.ca/science-fairs/cwsf/awards-and-prizes/,7,12,Canada,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,15
Scholarship,TD Scholarships for Community Leadership,"Community Engagement, Leadership",17-18,12,TD Bank Group,Canada,Canadian students demonstrating outstanding community leadership and commitment.,Scholarships awarded to students who show exemplary community leadership and academic success.,https://www.td.com/ca/en/personal-banking/solutions/student-banking/community-leadership-scholarship-for-canadians/,12,12,Canada,Leadership,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,16
Scholarship,Schulich Leader Scholarships,STEM,17-18,12,Schulich Foundation,Canada,High school graduates pursuing post-secondary studies in STEM fields.,Scholarships for high-achieving students entering STEM fields in Canadian universities.,https://schulichleaders.com/,12,12,Canada,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,18
Scholarship,Vancouver Foundation Youth Scholarships,General Academic Achievement,17-18,12,Vancouver Foundation,British Columbia,Youth in Vancouver with academic and financial need.,Financial support for youth in Vancouver with academic excellence and financial need.,https://www.vancouverfoundation.ca/grants/search-grants,12,12,Canada,Academic Achievement,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,19
Scholarship,Chinese Benevolent Association Scholarships,Community Engagement,17-18,12,Chinese Benevolent Association,British Columbia,Students of Chinese descent in Vancouver demonstrating academic and community involvement.,Scholarships for students of Chinese heritage supporting educational and community engagement.,http://www.cbaofbc.com/scholarship.html,12,12,Canada,Cultural Support,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FINANCIAL AWARDS AND SUPPORT,20
Bursary,Indigenous Learning Bursary,Education,17-18,12,Indigenous Services Canada,Canada,Indigenous students in Canada,Financial support for Indigenous students enrolled in post-secondary education.,http://www.fnesc.ca/bursary/,12,12,Canada,Education,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FINANCIAL AWARDS AND SUPPORT,21
Scholarship,Beedie Luminaries Scholarship,Leadership,17-24,12,Beedie Luminaries,Canada,Grade 12 students in financial need,Supports students with financial barriers to pursue post-secondary education and realize their potential.,https://beedieluminaries.ca/,12,12,Canada,Leadership,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,22
Scholarship,Black Business and Professional Association National Scholarships,Business,17-24,12,Black Business and Professional Association,Canada,Black Canadian students pursuing post-secondary,Supports Black Canadian students with academic excellence and community involvement.,https://bbpa.org/bbpa-national-scholarships/,12,12,Canada,Business,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,23
Scholarship,Victoria Foundation Youth Scholarships,General Academic Achievement,17-30,12,Victoria Foundation,Canada,Youth in Greater Victoria region,Funds post-secondary education for students in Greater Victoria region who demonstrate need and merit.,https://victoriafoundation.bc.ca/grants-funding/scholarships-student-awards/,12,12,Canada,General,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,24
Scholarship,Shad Valley Scholarships,STEM,16-18,11-12,Shad Canada,Canada,High-achieving students interested in STEM,Provides scholarships for students attending the Shad program focusing on STEM and entrepreneurship.,https://www.shad.ca/apply/,11,12,Canada,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,25
Scholarship,BC Hydro Scholarships,STEM,17-18,12,BC Hydro,"Vancouver, BC",Grade 12 students in BC with interest in clean energy,Scholarships for students pursuing post-secondary studies in clean energy or related fields.,https://www.bchydro.com/community/community-giving/scholarships.html,12,12,Canada,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,26
Scholarship,Emily Carr Youth Arts Scholarship,Arts,15-18,11-12,Emily Carr University,"Vancouver, BC",High school students in BC interested in arts,Scholarship for high school students showing exceptional promise in visual arts.,https://www.ecuad.ca/student-life/financial-aid-awards/scholarships,11,12,Canada,Humanities,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,27
Award,Canadian Women in Technology Award,Technology,15-18,11-12,Canadian Women in Technology,Canada,Young women in Canada pursuing technology careers,Award for young women pursuing a career in technology.,https://www.canwit.ca/awards/,11,12,Canada,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,28
Award,TechGirls Canada Youth Award,Technology,15-18,11-12,TechGirls Canada,Canada,Girls in Canada interested in technology,Award for young girls excelling in technology fields.,https://techgirls.ca/,11,12,Canada,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,29
Scholarship,BC School Sports Scholarships,Sports & Fitness,17-18,12,BC School Sports,"Burnaby, BC",Student-athletes in BC,Scholarships for high school athletes in British Columbia.,https://www.bcschoolsports.ca/awards/scholarships,12,12,Canada,Sports,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,30
Award,Premier’s Awards for Indigenous Youth Excellence in Sport,Sports & Fitness,5-18,K-12,"Indigenous Sport, Physical Activity & Recreation Council (I·SPARC)",British Columbia,Indigenous youth in British Columbia excelling in sport,An award recognizing Indigenous youth who have demonstrated excellence in sport.,https://www2.gov.bc.ca/gov/content/governments/indigenous-people/aboriginal-sport/premiers-awards,0,12,Canada,Sports,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",COMPETITIONS/CONTESTS AND CHALLENGE OPPORTUNITIES ,31
Program,Rick Hansen Foundation School Program,Accessibility and Inclusion,5-18,K-12,Rick Hansen Foundation,Canada,Schools in Canada,School program promoting accessibility and inclusivity awareness.,https://www.rickhansen.com/schools/scholarship,0,12,Canada,Humanities,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,32
Scholarship,KidSport BC Scholarships,Sports & Fitness,5-18,K-12,KidSport BC,British Columbia,Youth with financial need in British Columbia,Financial assistance for youth in sports.,https://kidsportcanada.ca/british-columbia/,0,12,Canada,Sports,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,33
Scholarship,BC Study Abroad Scholarships,Multiple K-12,17-18,12,BC Council for International Education,British Columbia,Canadian students studying abroad,Scholarships for BC students to pursue studies abroad.,https://www.bcstudyabroad.ca/scholarships,12,12,Canada,Humanities,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,34
Scholarship,One World International Scholarship,International Study,17-18,12,BC Council for International Education,British Columbia,Canadian students studying internationally,Scholarship to support international study for BC students.,https://victoriafoundation.bc.ca/grants-funding/scholarships-student-awards/one-world-international-scholarship/,12,12,Canada,Humanities,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,35
Scholarship,Premier’s International Scholarship,International Education,17-18,12,British Columbia Government,"British Columbia, Canada",BC residents attending post-secondary institutions internationally,Supports BC students studying abroad to gain international perspectives.,https://www2.gov.bc.ca/gov/content/education-training/post-secondary-education/international-education/scholarships/premiers-international-scholarships,12,12,Canada,International Studies,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,36
Scholarship,P.E.O. International Peace Scholarship,Peace Studies,17-18,12,P.E.O. International,USA,Women international students pursuing graduate studies in the USA or Canada,Scholarship supporting women from other countries in graduate studies.,https://www.peointernational.org/about-peo-international-peace-scholarship-ips,12,12,USA,Humanities,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,37
Scholarship,Aga Khan Foundation International Scholarship,Development Studies,17-30,12,Aga Khan Foundation,Multiple Countries,Students from developing countries for postgraduate studies,Scholarship to assist outstanding students from developing countries in postgraduate studies.,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,12,12,Multiple Countries,Humanities,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,38
Scholarship,Next Gen Scholarship,General Academic Achievement,17-18,12,Next Gen Foundation,USA,International students applying to US institutions,Provides financial assistance to international students studying in the USA.,https://www.timeshighereducation.com/student/scholarships/next-gen-scholarship,12,12,USA,General Studies,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,39
Scholarship,Canada-China Scholars' Exchange Program,Cultural Exchange,18-50,12,Government of Canada & Chinese Ministry of Education,Canada & China,Canadian and Chinese citizens in post-secondary exchange programs,Exchange program to promote cultural understanding between Canada and China.,https://www.educanada.ca/scholarships-bourses/can/ccsep-peucc.aspx?lang=eng,12,12,Canada & China,Cultural Exchange,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FINANCIAL AWARDS AND SUPPORT,40
Scholarship,Global Korea Scholarship for Graduate Degrees,Multiple K-12,17-18,12,Korean Government,South Korea,Non-Korean international students,Full funding for international students pursuing graduate degrees in South Korea.,https://www.studyinkorea.go.kr/en/sub/gks/allnew_invite.do,12,12,South Korea,All Disciplines,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,41
Scholarship,Harvard University Need-Based Aid,Multiple K-12,17-18,12,Harvard University,USA,Need-based financial aid,Need-based financial aid for undergraduate students at Harvard University.,https://college.harvard.edu/financial-aid,12,12,USA,All Disciplines,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,42
Scholarship,Yale University Need-Based Aid,Multiple K-12,17-18,12,Yale University,USA,Need-based financial aid,Need-based financial aid for undergraduate students at Yale University.,https://finaid.yale.edu/costs-affordability/affordability,12,12,USA,All Disciplines,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,43
Scholarship,Berea College Full Funding,Multiple K-12,17-18,12,Berea College,USA,International and domestic students,Full funding for undergraduate education for both domestic and international students.,https://www.berea.edu/admissions/tuition-promise/,12,12,USA,All Disciplines,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,44
Challenge,Breakthrough Junior Challenge,STEM,13-18,8-12,Breakthrough Prize Foundation,USA,Ages 13-18 interested in STEM,Annual competition for students aged 13-18 to create videos explaining STEM concepts.,https://breakthroughjuniorchallenge.org/,8,12,USA,STEM,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",COMPETITIONS/CONTESTS AND CHALLENGE OPPORTUNITIES ,45
Scholarship,The Gates Scholarship,Multiple K-12,17-18,12,Bill & Melinda Gates Foundation,USA,High-achieving low-income students,"Full funding for low-income, high-achieving high school seniors in the USA.",https://www.thegatesscholarship.org/scholarship,12,12,USA,All Disciplines,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,46
Prize,Breakthrough Prize,STEM,18+,12,Breakthrough Prize Foundation,USA,Breakthroughs in STEM fields,Prize for significant achievements in STEM fields awarded to individuals.,https://breakthroughprize.org/,12,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FINANCIAL AWARDS AND SUPPORT,47
Contest,Polar Expressions Publishing Contest,Literature,5-18,K-12,Polar Expressions Publishing,Canada,Open to Canadian students in Grades K-12,An annual Canadian poetry and short story contest with opportunities for publication and cash prizes.,https://www.polarexpressions.ca/StudentContests.html,0,12,Canada,Humanities,"Arts & Humanities- Visual Arts, Performing Arts, Music, Literature, Creative Writing, History, Philosophy, Languages",COMPETITIONS/CONTESTS AND CHALLENGE OPPORTUNITIES ,49
Contest,Royal Canadian Legion Literary and Poster Contest,"Arts, Literature",5-18,K-12,Royal Canadian Legion,Canada,Open to Canadian students in Grades K-12,"An art and literary contest focusing on remembrance, open to Canadian students of various grade levels.",https://www.legion.ca/remembrance/youth-remembrance-contests,0,12,Canada,"Humanities, Arts","Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,50
Scholarship,Canada Company Scholarship Fund,Financial Literacy,17-18,12,Canada Company,Canada,Children of Canadian Armed Forces members,Scholarships to support post-secondary education for children of Canadian Armed Forces members.,https://www.canadacompany.ca/en/Scholarships.html,12,12,Canada,Financial Aid,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,51
Scholarship,Toyota Earth Day Scholarship Program,Environmental Science,17-18,12,Toyota Canada,Canada,Canadian high school students involved in environmental community service,Scholarship for graduating high school students who have shown dedication to environmental issues through community service.,https://www.toyota.ca/toyota/en/corporate-responsibility/earthday-scholarship,12,12,Canada,Environmental Responsibility,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,52
Scholarship,Bayer Fund Opportunity Scholarship,"Agriculture, Food Science",17-18,12,Bayer Fund,Canada,Canadian high school students interested in agriculture or food science fields,"Supports high school students planning to study in fields related to agriculture, food science, or environmental sciences.",https://www.cropscience.bayer.ca/en/Our-Company/ScholarshipInformation,12,12,Canada,Agriculture/Food Science,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,53
Scholarship,Google Lime Scholarship,Technology,17-18,12,Google Lime Network,Canada,Canadian students with disabilities pursuing computer science,Scholarship for Canadian students with disabilities pursuing degrees in computer science or related fields.,https://www.limeconnect.com/programs/page/google-lime-scholarship,12,12,Canada,Technology,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,54
Scholarship,The Black Professionals in Technology Network (BPTN) Scholarships,Technology,16-18,11-12,Black Professionals in Technology Network,Canada,Black high school students in Canada interested in technology fields,Scholarships for Black high school students who demonstrate interest in technology and aim to study in tech-related fields.,https://www.bptn.com/scholarships/,11,12,Canada,Technology,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,55
Scholarship,Bayer Fund Opportunity Scholarship,"Agriculture, Food Science",17-18,12,Bayer Fund,Canada,Canadian high school students interested in agriculture or food science fields,"Supports high school students planning to study in fields related to agriculture, food science, or environmental sciences.",https://www.cropscience.bayer.ca/en/Our-Company/ScholarshipInformation,12,12,Canada,Agriculture/Food Science,"Equity & Access- Scholarships for Women and Girls, Indigenous Student Support, Disability & Accessibility Support, Cultural & Heritage Support Programs, LGBTQ+ Student Resources, Financial Need Scholarships, Scholarships for Black Students",FINANCIAL AWARDS AND SUPPORT,57
Video Lessons,3Blue1Brown,"Mathematics, Physics",12-18,8-12,Grant Sanderson,Online,Open,Visually intuitive lessons on math and physics to make abstract concepts more accessible.,https://www.3blue1brown.com,8,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",ENRICHMENT/ALTERNATIVE COURSES AND PROGRAMS ,60
Video Lessons,Art for Kids Hub (YouTube),Arts,5-18,K-12,Art for Kids Hub,Online,Open,Drawing tutorials for children of all ages.,https://www.youtube.com/user/ArtforKidsHub,0,12,USA,Arts,"Arts- Visual Arts, Performing Arts, Music",FREE LEARNING AND ENRICHMENT RESOURCES,61
"Interactive Lessons, Problems",Art of Problem Solving (AoPS),Mathematics,12-18,6-12,AoPS,Online,Advanced math students,Focuses on higher-level math skills and problem-solving for advanced students.,https://artofproblemsolving.com/,6,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",ENRICHMENT/ALTERNATIVE COURSES AND PROGRAMS ,62
